task_name,arg_type,dtype,hidden_size,num_tokens,world_size,rank,num_shared_experts,dp_size,sp_size,num_experts,topk,ep_size,latency(us),read_bytes(B),write_bytes(B),io_bytes(B),mem_bw(GB/s),calc_flops,calc_flops_power(tflops),calc_mem_ratio
moe_gather_triton,llm,bfloat16,4096,2560,8,0,0,1,1,64,4,8,639.126,20976640,10485760,31462400,49.227,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,2688,8,0,0,1,1,64,4,8,660.098,22025472,11010048,33035520,50.046,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,2816,8,0,0,1,1,64,4,8,697.49,23074304,11534336,34608640,49.619,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,2944,8,0,0,1,1,64,4,8,730.28,24123136,12058624,36181760,49.545,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,3072,8,0,0,1,1,64,4,8,756.104,25171968,12582912,37754880,49.933,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,3200,8,0,0,1,1,64,4,8,791.054,26220800,13107200,39328000,49.716,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,3328,8,0,0,1,1,64,4,8,820.25,27269632,13631488,40901120,49.864,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,3456,8,0,0,1,1,64,4,8,851.555,28318464,14155776,42474240,49.878,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,3584,8,0,0,1,1,64,4,8,882.778,29367296,14680064,44047360,49.896,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,3712,8,0,0,1,1,64,4,8,915.94,30416128,15204352,45620480,49.807,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,3840,8,0,0,1,1,64,4,8,940.298,31464960,15728640,47193600,50.19,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,3968,8,0,0,1,1,64,4,8,972.924,32513792,16252928,48766720,50.124,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,4096,8,0,0,1,1,64,4,8,1005.936,33562624,16777216,50339840,50.043,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,6144,8,0,0,1,1,64,4,8,1497.69,50343936,25165824,75509760,50.417,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,8192,8,0,0,1,1,64,4,8,1993.697,67125248,33554432,100679680,50.499,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,10240,8,0,0,1,1,64,4,8,2520.109,83906560,41943040,125849600,49.938,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,12288,8,0,0,1,1,64,4,8,2976.305,100687872,50331648,151019520,50.741,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,14336,8,0,0,1,1,64,4,8,3473.477,117469184,58720256,176189440,50.724,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,16384,8,0,0,1,1,64,4,8,3974.905,134250496,67108864,201359360,50.658,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,18432,8,0,0,1,1,64,4,8,4453.763,151031808,75497472,226529280,50.862,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,20480,8,0,0,1,1,64,4,8,5010.709,167813120,83886080,251699200,50.232,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,22528,8,0,0,1,1,64,4,8,5504.09,184594432,92274688,276869120,50.302,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,24576,8,0,0,1,1,64,4,8,5984.058,201375744,100663296,302039040,50.474,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,26624,8,0,0,1,1,64,4,8,6488.74,218157056,109051904,327208960,50.427,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,28672,8,0,0,1,1,64,4,8,6993.823,234938368,117440512,352378880,50.384,0,0.0,0.0
moe_gather_triton,llm,bfloat16,4096,32768,8,0,0,1,1,64,4,8,7986.053,268500992,134217728,402718720,50.428,0,0.0,0.0
